axis,mode,iteration,index,time_ms,output_bytes,io_backend,threads,cache_mb,memory_limit_mb,sb_parallel_mode
z,random,91,1408,77.443,7705620,sb-contest,8,0,16384,serial
z,random,92,1901,77.443,7705620,sb-contest,8,0,16384,serial
z,random,93,902,77.443,7705620,sb-contest,8,0,16384,serial
z,random,94,622,77.443,7705620,sb-contest,8,0,16384,serial
z,random,95,1082,77.443,7705620,sb-contest,8,0,16384,serial
z,random,96,1155,77.443,7705620,sb-contest,8,0,16384,serial
z,random,97,429,77.443,7705620,sb-contest,8,0,16384,serial
z,random,98,1300,77.443,7705620,sb-contest,8,0,16384,serial
z,random,99,876,77.443,7705620,sb-contest,8,0,16384,serial
x,continuous,0,395,77.443,24059620,sb-contest,8,0,16384,serial
x,continuous,1,396,77.443,24059620,sb-contest,8,0,16384,serial
x,continuous,2,397,77.443,24059620,sb-contest,8,0,16384,serial
x,continuous,3,398,77.443,24059620,sb-contest,8,0,16384,serial
x,continuous,4,399,77.443,24059620,sb-contest,8,0,16384,serial
x,continuous,5,400,77.443,24059620,sb-contest,8,0,16384,serial
x,continuous,6,401,77.443,24059620,sb-contest,8,0,16384,serial
x,continuous,7,402,77.443,24059620,sb-contest,8,0,16384,serial
x,continuous,8,403,77.443,24059620,sb-contest,8,0,16384,serial
x,continuous,9,404,77.443,24059620,sb-contest,8,0,16384,serial
y,continuous,0,1197,77.443,8013204,sb-contest,8,0,16384,serial
y,continuous,1,1198,77.443,8013204,sb-contest,8,0,16384,serial
y,continuous,2,1199,77.443,8013204,sb-contest,8,0,16384,serial
y,continuous,3,1200,77.443,8013204,sb-contest,8,0,16384,serial
y,continuous,4,1201,77.443,8013204,sb-contest,8,0,16384,serial
y,continuous,5,1202,77.443,8013204,sb-contest,8,0,16384,serial
y,continuous,6,1203,77.443,8013204,sb-contest,8,0,16384,serial
y,continuous,7,1204,77.443,8013204,sb-contest,8,0,16384,serial
y,continuous,8,1205,77.443,8013204,sb-contest,8,0,16384,serial
y,continuous,9,1206,77.443,8013204,sb-contest,8,0,16384,serial
z,continuous,0,1245,77.443,7705620,sb-contest,8,0,16384,serial
z,continuous,1,1246,77.443,7705620,sb-contest,8,0,16384,serial
z,continuous,2,1247,77.443,7705620,sb-contest,8,0,16384,serial
z,continuous,3,1248,77.443,7705620,sb-contest,8,0,16384,serial
z,continuous,4,1249,77.443,7705620,sb-contest,8,0,16384,serial
z,continuous,5,1250,77.443,7705620,sb-contest,8,0,16384,serial
z,continuous,6,1251,77.443,7705620,sb-contest,8,0,16384,serial
z,continuous,7,1252,77.443,7705620,sb-contest,8,0,16384,serial
z,continuous,8,1253,77.443,7705620,sb-contest,8,0,16384,serial
z,continuous,9,1254,77.443,7705620,sb-contest,8,0,16384,serial
